# Tabulated spectral data for IOPs
# aw from (Buiteveld et al, 1994),
# A and B from (Bricaud et al, 1995)
# Wavelength (nm), aw (/m), A, B
784,2.6062,0.0030,-0.034
786,2.5702,0.0030,-0.034
788,2.5335,0.0030,-0.034
790,2.4924,0.0030,-0.034
792,2.4481,0.0030,-0.034
794,2.4083,0.0030,-0.034
796,2.3742,0.0030,-0.034
798,2.3332,0.0030,-0.034
800,2.2932,0.0030,-0.034
802,2.2282,0.0030,-0.034
804,2.2101,0.0030,-0.034
806,2.1984,0.0030,-0.034
808,2.1929,0.0030,-0.034
810,2.1875,0.0030,-0.034
812,2.2017,0.0030,-0.034
814,2.2159,0.0030,-0.034
816,2.2443,0.0030,-0.034
818,2.2868,0.0030,-0.034
820,2.3294,0.0030,-0.034
822,2.4456,0.0030,-0.034
824,2.5618,0.0030,-0.034
826,2.7174,0.0030,-0.034
828,2.9125,0.0030,-0.034
830,3.1075,0.0030,-0.034
832,3.3454,0.0030,-0.034
834,3.5833,0.0030,-0.034
836,3.7516,0.0030,-0.034
838,3.8505,0.0030,-0.034
840,3.9494,0.0030,-0.034
842,3.9996,0.0030,-0.034
844,4.0497,0.0030,-0.034
846,4.0996,0.0030,-0.034
848,4.1491,0.0030,-0.034
850,4.1986,0.0030,-0.034
852,4.2417,0.0030,-0.034
854,4.2848,0.0030,-0.034
856,4.3316,0.0030,-0.034
858,4.3821,0.0030,-0.034
860,4.4326,0.0030,-0.034
862,4.5016,0.0030,-0.034
864,4.5707,0.0030,-0.034
866,4.6346,0.0030,-0.034
868,4.6933,0.0030,-0.034
870,4.7521,0.0030,-0.034
872,4.8354,0.0030,-0.034
874,4.9187,0.0030,-0.034
876,5.0279,0.0030,-0.034
878,5.1629,0.0030,-0.034
880,5.2979,0.0030,-0.034
882,5.4052,0.0030,-0.034
884,5.5125,0.0030,-0.034
886,5.6192,0.0030,-0.034
888,5.7253,0.0030,-0.034
890,5.8314,0.0030,-0.034
892,5.9363,0.0030,-0.034
894,6.0412,0.0030,-0.034
896,6.1469,0.0030,-0.034
898,6.2535,0.0030,-0.034
900,6.3601,0.0030,-0.034
