# Wavelength (nm), Rrs
400,-99.000000
402,-99.000000
404,-99.000000
406,-99.000000
408,-99.000000
410,-99.000000
412,0.005571
414,-99.000000
416,-99.000000
418,-99.000000
420,-99.000000
422,-99.000000
424,-99.000000
426,-99.000000
428,-99.000000
430,-99.000000
432,-99.000000
434,-99.000000
436,-99.000000
438,-99.000000
440,-99.000000
442,0.008064
444,-99.000000
446,-99.000000
448,-99.000000
450,-99.000000
452,-99.000000
454,-99.000000
456,-99.000000
458,-99.000000
460,-99.000000
462,-99.000000
464,-99.000000
466,-99.000000
468,-99.000000
470,-99.000000
472,-99.000000
474,-99.000000
476,-99.000000
478,-99.000000
480,-99.000000
482,-99.000000
484,-99.000000
486,-99.000000
488,-99.000000
490,0.014120
492,-99.000000
494,-99.000000
496,-99.000000
498,-99.000000
500,-99.000000
502,-99.000000
504,-99.000000
506,-99.000000
508,-99.000000
510,0.017204
512,-99.000000
514,-99.000000
516,-99.000000
518,-99.000000
520,-99.000000
522,-99.000000
524,-99.000000
526,-99.000000
528,-99.000000
530,-99.000000
532,-99.000000
534,-99.000000
536,-99.000000
538,-99.000000
540,-99.000000
542,-99.000000
544,-99.000000
546,-99.000000
548,-99.000000
550,-99.000000
552,-99.000000
554,0.024746
556,-99.000000
558,-99.000000
560,-99.000000
562,-99.000000
564,-99.000000
566,-99.000000
568,-99.000000
570,-99.000000
572,-99.000000
574,-99.000000
576,-99.000000
578,-99.000000
580,-99.000000
582,-99.000000
584,-99.000000
586,-99.000000
588,-99.000000
590,0.030056
592,-99.000000
594,-99.000000
596,-99.000000
598,-99.000000
600,-99.000000
602,-99.000000
604,-99.000000
606,-99.000000
608,-99.000000
610,-99.000000
612,-99.000000
614,-99.000000
616,-99.000000
618,-99.000000
620,-99.000000
622,-99.000000
624,-99.000000
626,-99.000000
628,-99.000000
630,-99.000000
632,-99.000000
634,-99.000000
636,-99.000000
638,-99.000000
640,-99.000000
642,-99.000000
644,-99.000000
646,-99.000000
648,-99.000000
650,-99.000000
652,-99.000000
654,-99.000000
656,-99.000000
658,-99.000000
660,-99.000000
662,-99.000000
664,-99.000000
666,-99.000000
668,-99.000000
670,0.027186
672,-99.000000
674,-99.000000
676,-99.000000
678,-99.000000
680,-99.000000
682,-99.000000
684,-99.000000
686,-99.000000
688,-99.000000
690,-99.000000
692,-99.000000
694,-99.000000
696,-99.000000
698,-99.000000
700,-99.000000
702,-99.000000
704,-99.000000
706,-99.000000
708,-99.000000
710,-99.000000
712,-99.000000
714,-99.000000
716,-99.000000
718,-99.000000
720,-99.000000
722,-99.000000
724,-99.000000
726,-99.000000
728,-99.000000
730,-99.000000
732,-99.000000
734,-99.000000
736,-99.000000
738,-99.000000
740,-99.000000
742,-99.000000
744,-99.000000
746,-99.000000
748,-99.000000
750,-99.000000
752,-99.000000
754,-99.000000
756,-99.000000
758,-99.000000
760,-99.000000
762,-99.000000
764,-99.000000
766,-99.000000
768,-99.000000
770,-99.000000
772,-99.000000
774,-99.000000
776,-99.000000
778,-99.000000
780,-99.000000
782,-99.000000
784,-99.000000
786,-99.000000
788,-99.000000
790,-99.000000
792,-99.000000
794,-99.000000
796,-99.000000
798,-99.000000
800,-99.000000
