# Wavelength (nm), Rrs
400,0.004187
402,0.004138
404,0.004088
406,0.004019
408,0.003953
410,0.003880
412,0.003835
414,0.003802
416,0.003760
418,0.003739
420,0.003717
422,0.003747
424,0.003778
426,0.003755
428,0.003722
430,0.003642
432,0.003640
434,0.003656
436,0.003660
438,0.003677
440,0.003670
442,0.003754
444,0.003875
446,0.003980
448,0.004083
450,0.004115
452,0.004192
454,0.004287
456,0.004336
458,0.004377
460,0.004370
462,0.004411
464,0.004469
466,0.004520
468,0.004563
470,0.004590
472,0.004688
474,0.004797
476,0.004890
478,0.004967
480,0.005008
482,0.005064
484,0.005125
486,0.005158
488,0.005190
490,0.005176
492,0.005213
494,0.005259
496,0.005295
498,0.005316
500,0.005337
502,0.005366
504,0.005405
506,0.005426
508,0.005443
510,0.005432
512,0.005457
514,0.005464
516,0.005452
518,0.005446
520,0.005454
522,0.005482
524,0.005575
526,0.005557
528,0.005624
530,0.005625
532,0.005606
534,0.005637
536,0.005633
538,0.005655
540,0.005623
542,0.005658
544,0.005611
546,0.005633
548,0.005612
550,0.005579
552,0.005581
554,0.005598
556,0.005633
558,0.005636
560,0.005695
562,0.005740
564,0.005752
566,0.005740
568,0.005716
570,0.005647
572,0.005567
574,0.005514
576,0.005389
578,0.005279
580,0.005089
582,0.004929
584,0.004709
586,0.004516
588,0.004292
590,0.004087
592,0.003884
594,0.003718
596,0.003510
598,0.003293
600,0.002870
602,0.002727
604,0.002643
606,0.002523
608,0.002459
610,0.002420
612,0.002387
614,0.002360
616,0.002328
618,0.002308
620,0.002279
622,0.002257
624,0.002235
626,0.002215
628,0.002193
630,0.002164
632,0.002136
634,0.002120
636,0.002103
638,0.002080
640,0.002060
642,0.002042
644,0.002024
646,0.002002
648,0.001980
650,0.001947
652,0.001918
654,0.001875
656,0.001817
658,0.001736
660,0.001650
662,0.001571
664,0.001515
666,0.001468
668,0.001436
670,0.001410
672,0.001392
674,0.001382
676,0.001372
678,0.001372
680,0.001376
682,0.001383
684,0.001394
686,0.001402
688,0.001410
690,0.001410
692,0.001400
694,0.001380
696,0.001353
698,0.001313
700,0.001270
702,0.001216
704,0.001160
706,0.001106
708,0.001051
710,0.000995
712,0.000937
714,0.000879
716,0.000817
718,0.000757
720,0.000699
722,0.000643
724,0.000594
726,0.000550
728,0.000509
730,0.000468
732,0.000425
734,0.000382
736,0.000346
738,0.000319
740,0.000302
742,0.000292
744,0.000286
746,0.000283
748,0.000281
750,0.000280
752,0.000279
754,0.000278
756,0.000277
758,0.000276
760,0.000276
762,0.000275
764,0.000275
766,0.000276
768,0.000276
770,0.000277
772,0.000277
774,0.000279
776,0.000281
778,0.000283
780,0.000286
782,0.000289
784,0.000292
786,0.000296
788,0.000300
790,0.000305
792,0.000310
794,0.000315
796,0.000320
798,0.000325
800,0.000331
