# Wavelength (nm), Rrs
400,0.013053
402,0.012902
404,0.012674
406,0.012448
408,0.012200
410,0.011944
412,0.011694
414,0.011385
416,0.011153
418,0.010933
420,0.010672
422,0.010419
424,0.010209
426,0.009957
428,0.009759
430,0.009532
432,0.009335
434,0.009099
436,0.008914
438,0.008713
440,0.008572
442,0.008435
444,0.008309
446,0.008190
448,0.008091
450,0.008002
452,0.007903
454,0.007807
456,0.007708
458,0.007603
460,0.007507
462,0.007404
464,0.007304
466,0.007209
468,0.007094
470,0.007005
472,0.006897
474,0.006787
476,0.006677
478,0.006553
480,0.006438
482,0.006294
484,0.006163
486,0.006036
488,0.005879
490,0.005732
492,0.005571
494,0.005410
496,0.005221
498,0.004994
500,0.004773
502,0.004536
504,0.004307
506,0.004093
508,0.003886
510,0.003693
512,0.003503
514,0.003335
516,0.003185
518,0.003045
520,0.002995
522,0.002933
524,0.002959
526,0.002828
528,0.002833
530,0.002778
532,0.002668
534,0.002590
536,0.002501
538,0.002435
540,0.002348
542,0.002296
544,0.002181
546,0.002101
548,0.002015
550,0.001922
552,0.001839
554,0.001769
556,0.001717
558,0.001674
560,0.001627
562,0.001583
564,0.001542
566,0.001491
568,0.001448
570,0.001390
572,0.001331
574,0.001271
576,0.001205
578,0.001146
580,0.001071
582,0.001013
584,0.000933
586,0.000863
588,0.000793
590,0.000728
592,0.000673
594,0.000622
596,0.000570
598,0.000518
600,0.000431
602,0.000402
604,0.000386
606,0.000363
608,0.000351
610,0.000344
612,0.000338
614,0.000333
616,0.000328
618,0.000323
620,0.000318
622,0.000313
624,0.000308
626,0.000303
628,0.000298
630,0.000293
632,0.000288
634,0.000283
636,0.000279
638,0.000274
640,0.000269
642,0.000265
644,0.000260
646,0.000255
648,0.000250
650,0.000245
652,0.000240
654,0.000235
656,0.000228
658,0.000218
660,0.000208
662,0.000200
664,0.000194
666,0.000190
668,0.000188
670,0.000186
672,0.000183
674,0.000181
676,0.000178
678,0.000175
680,0.000173
682,0.000169
684,0.000166
686,0.000162
688,0.000158
690,0.000153
692,0.000148
694,0.000143
696,0.000137
698,0.000131
700,0.000125
702,0.000118
704,0.000112
706,0.000106
708,0.000100
710,0.000094
712,0.000088
714,0.000082
716,0.000076
718,0.000069
720,0.000064
722,0.000058
724,0.000053
726,0.000049
728,0.000045
730,0.000041
732,0.000037
734,0.000033
736,0.000030
738,0.000027
740,0.000026
742,0.000025
744,0.000024
746,0.000024
748,0.000024
750,0.000023
752,0.000023
754,0.000023
756,0.000023
758,0.000023
760,0.000023
762,0.000023
764,0.000023
766,0.000022
768,0.000022
770,0.000022
772,0.000022
774,0.000022
776,0.000023
778,0.000023
780,0.000023
782,0.000023
784,0.000023
786,0.000023
788,0.000024
790,0.000024
792,0.000024
794,0.000025
796,0.000025
798,0.000025
800,0.000026
